dataset_protocol,method,beta,seed,threshold_analysis,f1,pr_auc,roc_auc,fpr,precision,recall,false_positives_per_10000_benign,threshold
CICIDS2017_COVERAGE_R1,CB-Score,0.8,3407,shared_full_threshold,0.0029514890595179976,0.17732172610234292,0.37253104996953207,0.0005434801185401919,0.4554794520547945,0.0014805414551607445,5.434801185401919,0.69
CICIDS2017_COVERAGE_R1,CB-Score,0.1,3407,fixed_0.5,0.002422087661796567,0.17932125730276752,0.3871185435853504,0.00021875929299730994,0.630057803468208,0.0012133760797933921,2.1875929299730994,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.1,3407,method_specific,0.0030187160394445564,0.17932125730276752,0.3871185435853504,0.03212343493107373,0.015710096355257646,0.0016697835960459524,321.23434931073734,0.12
CICIDS2017_COVERAGE_R1,CB-Score,0.1,3407,shared_full_threshold,0.0018232554002823823,0.17932125730276752,0.3871185435853504,0.00011963398835790387,0.7008547008547008,0.0009128150325051206,1.1963398835790389,0.69
CICIoT2023_R1,CB-Score,0.4,123,fixed_0.5,0.8855239248940037,0.9875743431075205,0.9593335526187514,0.003075962910128388,0.998708639017817,0.7953823910807709,30.75962910128388,0.5
CICIoT2023_R1,CB-Score,0.4,123,method_specific,0.918118951020635,0.9875743431075205,0.9593335526187514,0.04640691868758916,0.9823139653414883,0.8617996452579333,464.0691868758916,0.2
CICIoT2023_R1,CB-Score,0.4,123,shared_full_threshold,0.8864889058342796,0.9875743431075205,0.9593335526187514,0.0036109129814550643,0.9984876208969715,0.7970815757702225,36.10912981455064,0.48
CICIoT2023_R1,CB-Score,0.1,3407,fixed_0.5,0.8783759790092525,0.982966674614437,0.9436727931335451,0.81089514978602,0.7859395594050085,0.9954539356992741,8108.9514978602,0.5
CICIoT2023_R1,CB-Score,0.1,3407,method_specific,0.9125132937253616,0.982966674614437,0.9436727931335451,0.04052246790299572,0.9843189345845984,0.8504717473282557,405.2246790299572,0.85
CICIoT2023_R1,CB-Score,0.1,3407,shared_full_threshold,0.9045230464090145,0.982966674614437,0.9436727931335451,0.4069632667617689,0.8733191790516631,0.9380393793504345,4069.632667617689,0.63
CICIDS2017_COVERAGE_R1,CB-Score,0.8,11,fixed_0.5,0.00220266390549254,0.1722302645081896,0.2953350575663523,0.055667403839909216,0.007132841553374383,0.001302431204915843,556.6740383990922,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.8,11,method_specific,0.0024393759632763035,0.1722302645081896,0.2953350575663523,0.0008374379185053271,0.30985915492957744,0.0012245079704336984,8.374379185053272,0.73
CICIDS2017_COVERAGE_R1,CB-Score,0.8,11,shared_full_threshold,0.002443005785481883,0.1722302645081896,0.2953350575663523,0.0003794106487922094,0.497737556561086,0.0012245079704336984,3.7941064879220945,0.84
CICIoT2023_R1,CB-Score,0.1,2026,fixed_0.5,0.8795745959663417,0.9851182187046486,0.9519550433991213,0.0008024251069900142,0.9996584505037855,0.7852469034594804,8.024251069900142,0.5
CICIoT2023_R1,CB-Score,0.1,2026,method_specific,0.8946975109424914,0.9851182187046486,0.9519550433991213,0.009227888730385164,0.9962144764273435,0.8119568943673519,92.27888730385165,0.05
CICIoT2023_R1,CB-Score,0.1,2026,shared_full_threshold,0.8808950172150759,0.9851182187046486,0.9519550433991213,0.001292796005706134,0.9994514017630812,0.7874826727877062,12.927960057061341,0.36
CICIDS2017_COVERAGE_R1,CB-Score,0.1,2718,fixed_0.5,0.5399666800712357,0.45134143987234154,0.6711897401193594,0.1272973998407159,0.5578954865974975,0.5231543325318372,1272.973998407159,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.1,2718,method_specific,0.37310371147791244,0.45134143987234154,0.6711897401193594,0.04264780779261619,0.6528380634390651,0.26118755009350786,426.4780779261619,0.75
CICIDS2017_COVERAGE_R1,CB-Score,0.1,2718,shared_full_threshold,0.33244060333212844,0.45134143987234154,0.6711897401193594,0.03985179057899432,0.6344224256866926,0.22523154332531836,398.5179057899432,0.78
CICIoT2023_R1,CB-Score,0.8,42,fixed_0.5,0.901876395885297,0.9884775695159869,0.9624477125794035,0.011991797432239657,0.9951610872263495,0.8245815385074003,119.91797432239657,0.5
CICIoT2023_R1,CB-Score,0.8,42,method_specific,0.9297217696453189,0.9884775695159869,0.9624477125794035,0.05469864479315264,0.9797434500520034,0.8845597770192724,546.9864479315264,0.36
CICIoT2023_R1,CB-Score,0.8,42,shared_full_threshold,0.8960629921259843,0.9884775695159869,0.9624477125794035,0.009138730385164051,0.9962611027011253,0.8141777585667228,91.38730385164051,0.52
CICIDS2017_COVERAGE_R1,CB-Score,0.4,2718,fixed_0.5,0.0027850877192982454,0.16581503748529758,0.3147257064872379,0.004241879415775963,0.09283625730994152,0.0014137501113189064,42.418794157759635,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.4,2718,method_specific,0.0030106879421947915,0.16581503748529758,0.3147257064872379,0.010356885277841392,0.04416403785488959,0.0015584646896428889,103.56885277841393,0.48
CICIDS2017_COVERAGE_R1,CB-Score,0.4,2718,shared_full_threshold,0.0024864024864024864,0.16581503748529758,0.3147257064872379,0.0004990446371501133,0.43410852713178294,0.001246771751714311,4.990446371501133,0.78
CICIDS2017_COVERAGE_R1,CB-Score,1.0,777,fixed_0.5,0.002918255678991875,0.17561917528502388,0.36725329145219276,0.001712475090494567,0.20853080568720378,0.001469409564520438,17.124750904945667,0.5
CICIDS2017_COVERAGE_R1,CB-Score,1.0,777,method_specific,0.002791099493836322,0.17561917528502388,0.36725329145219276,0.0011245594905642965,0.27692307692307694,0.0014026182206786,11.245594905642964,0.59
CICIDS2017_COVERAGE_R1,CB-Score,1.0,777,shared_full_threshold,0.002856984663086208,0.17561917528502388,0.36725329145219276,0.0011758311998605409,0.2727272727272727,0.0014360138925995191,11.758311998605409,0.56
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,3407,fixed_0.5,0.0031130294633887863,0.1718650290183775,0.3473635318772843,0.002098721967192942,0.18675496688741722,0.0015695965802831953,20.987219671929424,0.5
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,3407,method_specific,0.0029651921842844815,0.1718650290183775,0.3473635318772843,0.0014219354044825146,0.24363636363636362,0.0014916733458010508,14.219354044825147,0.69
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,3407,shared_full_threshold,0.0029651921842844815,0.1718650290183775,0.3473635318772843,0.0014219354044825146,0.24363636363636362,0.0014916733458010508,14.219354044825147,0.69
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,314,fixed_0.5,0.015716645833515442,0.1680634528368968,0.3213607405350546,0.08090675726947386,0.03659082583743742,0.010007569685635409,809.0675726947385,0.5
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,314,method_specific,0.003062379335596831,0.1680634528368968,0.3213607405350546,0.000533225776680943,0.46938775510204084,0.0015362009083622762,5.3322577668094295,0.69
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,314,shared_full_threshold,0.003062379335596831,0.1680634528368968,0.3213607405350546,0.000533225776680943,0.46938775510204084,0.0015362009083622762,5.3322577668094295,0.69
CICIDS2017_COVERAGE_R1,CB-Score,0.8,2027,fixed_0.5,0.01180942782336251,0.22654304277744938,0.5168872272005469,0.0031173199252116667,0.3714679531357684,0.0060000890551251225,31.173199252116667,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.8,2027,method_specific,0.003152823108861209,0.22654304277744938,0.5168872272005469,0.00035548385112062864,0.5772357723577236,0.0015807284709235016,3.554838511206287,0.91
CICIDS2017_COVERAGE_R1,CB-Score,0.8,2027,shared_full_threshold,0.009923706021186673,0.22654304277744938,0.5168872272005469,0.002772090415950287,0.3578780680918448,0.00503161456941847,27.72090415950287,0.54
CICIoT2023_R1,CB-Score,0.4,3407,fixed_0.5,0.8742008557764913,0.986250378177588,0.9554836117231157,4.457917261055635e-05,0.9999808057736232,0.7765274030793996,0.4457917261055635,0.5
CICIoT2023_R1,CB-Score,0.4,3407,method_specific,0.8778269193789765,0.986250378177588,0.9554836117231157,0.000891583452211127,0.9996191781865266,0.7824894546213352,8.91583452211127,0.05
CICIoT2023_R1,CB-Score,0.4,3407,shared_full_threshold,0.8739363219818399,0.986250378177588,0.9554836117231157,4.457917261055635e-05,0.9999807954523631,0.7761100594714642,0.4457917261055635,0.63
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,11,fixed_0.5,0.01436930715990644,0.1634132126663696,0.29699842740442733,0.1180445653697203,0.02539861718639763,0.010018701576275714,1180.445653697203,0.5
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,11,method_specific,0.002465598240762336,0.1634132126663696,0.29699842740442733,0.0003281389394959649,0.5362318840579711,0.0012356398610740048,3.2813893949596493,0.84
CICIDS2017_COVERAGE_R1,Full-Contextual,Full,11,shared_full_threshold,0.002465598240762336,0.1634132126663696,0.29699842740442733,0.0003281389394959649,0.5362318840579711,0.0012356398610740048,3.2813893949596493,0.84
CICIoT2023_R1,CB-Score,0.1,11,fixed_0.5,0.9290143973223014,0.9887642539710981,0.9639199389076829,0.06165299572039943,0.9772458045409674,0.8853199385908691,616.5299572039943,0.5
CICIoT2023_R1,CB-Score,0.1,11,method_specific,0.926551892513428,0.9887642539710981,0.9639199389076829,0.047209343794579174,0.9823155152547468,0.8767792997570464,472.0934379457917,0.52
CICIoT2023_R1,CB-Score,0.1,11,shared_full_threshold,0.9186473707750303,0.9887642539710981,0.9639199389076829,0.02701497860199715,0.9895727584011563,0.8572088655706429,270.1497860199715,0.58
CICIoT2023_R1,CB-Score,1.0,2027,fixed_0.5,0.8968641457500491,0.987274229739366,0.9579581169360941,0.010699001426533523,0.9956348556774158,0.8159216586427389,106.99001426533523,0.5
CICIoT2023_R1,CB-Score,1.0,2027,method_specific,0.9190183562621417,0.987274229739366,0.9579581169360941,0.04783345221112696,0.9818209541881269,0.863767122266772,478.3345221112696,0.35
CICIoT2023_R1,CB-Score,1.0,2027,shared_full_threshold,0.9125995376316466,0.987274229739366,0.9579581169360941,0.028575249643366617,0.9888492650256588,0.8472671446244653,285.7524964336662,0.4
CICIDS2017_COVERAGE_R1,CB-Score,0.1,2026,fixed_0.5,0.0025888831601926306,0.1636661221762626,0.2539449053296296,0.004132499769277308,0.08892238131122833,0.0013135630955561492,41.32499769277308,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.1,2026,method_specific,0.0013002181722017762,0.1636661221762626,0.2539449053296296,0.0029498323415106014,0.06399132321041215,0.0006567815477780746,29.498323415106015,0.62
CICIDS2017_COVERAGE_R1,CB-Score,0.1,2026,shared_full_threshold,0.001172255153499071,0.1636661221762626,0.2539449053296296,0.0018423634207117197,0.08952702702702703,0.0005899902039362365,18.423634207117196,0.79
CICIDS2017_COVERAGE_R1,CB-Score,0.2,2718,fixed_0.5,0.003230588808001239,0.16909856386950475,0.33388393412308337,0.001394590492857851,0.26353790613718414,0.001625256033484727,13.945904928578509,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.2,2718,method_specific,0.003252356298951281,0.16909856386950475,0.33388393412308337,0.0014253535184355977,0.26063829787234044,0.0016363879241250334,14.253535184355975,0.49
CICIDS2017_COVERAGE_R1,CB-Score,0.2,2718,shared_full_threshold,0.0027286945525939236,0.16909856386950475,0.33388393412308337,0.0006767865627104276,0.38317757009345793,0.001369222548757681,6.7678656271042765,0.78
CICIDS2017_COVERAGE_R1,CB-Score,0.6,3407,fixed_0.5,0.0031364233729803755,0.1747172790475695,0.3624475124615739,0.0019654155230227066,0.19804741980474197,0.0015807284709235016,19.654155230227065,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.6,3407,method_specific,0.002663027196165241,0.1747172790475695,0.3624475124615739,0.0005844974859771875,0.41237113402061853,0.0013358268768367619,5.844974859771875,0.76
CICIDS2017_COVERAGE_R1,CB-Score,0.6,3407,shared_full_threshold,0.002681826745126722,0.1747172790475695,0.3624475124615739,0.0009707443626755629,0.29876543209876544,0.0013469587674770683,9.707443626755628,0.69
CICIoT2023_R1,CB-Score,1.0,314,fixed_0.5,0.8960325734503395,0.9890463396869139,0.9640850401867578,0.006686875891583452,0.9972590724701239,0.8134623123816905,66.86875891583452,0.5
CICIoT2023_R1,CB-Score,1.0,314,method_specific,0.9320353428727813,0.9890463396869139,0.9640850401867578,0.05349500713266762,0.9802628332702841,0.8883307746195466,534.9500713266762,0.31
CICIoT2023_R1,CB-Score,1.0,314,shared_full_threshold,0.8886131241933882,0.9890463396869139,0.9640850401867578,0.0035217546362339516,0.9985311889932137,0.8004948502779806,35.21754636233951,0.61
CICIDS2017_COVERAGE_R1,CB-Score,0.4,2027,fixed_0.5,0.015744274809160304,0.23544067808558422,0.5305872576137554,0.005694577845836224,0.30351170568561875,0.00808175260486241,56.94577845836225,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.4,2027,method_specific,0.015744274809160304,0.23544067808558422,0.5305872576137554,0.005694577845836224,0.30351170568561875,0.00808175260486241,56.94577845836225,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.4,2027,shared_full_threshold,0.012391519757831811,0.23544067808558422,0.5305872576137554,0.004908411636627142,0.28379052369077307,0.006334045774334313,49.08411636627142,0.54
CICIDS2017_COVERAGE_R1,CB-Score,0.4,11,fixed_0.5,0.00244140625,0.16806952693725868,0.28455750898966936,0.0005810793720241045,0.39285714285714285,0.0012245079704336984,5.810793720241046,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.4,11,method_specific,0.0024443358072974535,0.16806952693725868,0.28455750898966936,0.00021192306509114402,0.6395348837209303,0.0012245079704336984,2.1192306509114403,0.83
CICIDS2017_COVERAGE_R1,CB-Score,0.4,11,shared_full_threshold,0.002444417284252397,0.16806952693725868,0.28455750898966936,0.00020166872323189512,0.650887573964497,0.0012245079704336984,2.016687232318951,0.84
CICIoT2023_R1,CB-Score,0.2,314,fixed_0.5,0.9211315773684526,0.9866343513839999,0.9568129928034805,0.21554029957203993,0.9270133594988301,0.9153239629756599,2155.4029957203993,0.5
CICIoT2023_R1,CB-Score,0.2,314,method_specific,0.9202856713514026,0.9866343513839999,0.9568129928034805,0.05206847360912981,0.9803194715912921,0.8671803967745301,520.6847360912982,0.59
CICIoT2023_R1,CB-Score,0.2,314,shared_full_threshold,0.9172542628880321,0.9866343513839999,0.9568129928034805,0.04506954350927247,0.9827780049059689,0.8599215990222235,450.69543509272467,0.61
CICIoT2023_R1,CB-Score,0.8,11,fixed_0.5,0.893864490709133,0.98699866311452,0.9575421720129054,0.006508559201141227,0.9973201174743025,0.8098552711988195,65.08559201141227,0.5
