dataset_protocol,beta,endpoint,rank,method,value
CICIDS2017_COVERAGE_R1,1.0,metric_pr_auc_mean,1,Oort-Style-Adapted,0.19595269404151966
CICIDS2017_COVERAGE_R1,1.0,metric_pr_auc_mean,2,Utility-Cost-Ratio,0.19595269404151966
CICIDS2017_COVERAGE_R1,1.0,metric_pr_auc_mean,3,Utility-Only,0.19595269404151966
CICIDS2017_COVERAGE_R1,1.0,metric_pr_auc_mean,4,CB-Score,0.18721385935851334
CICIDS2017_COVERAGE_R1,1.0,metric_pr_auc_mean,5,Historical-DoubleCost,0.18721385935851334
CICIDS2017_COVERAGE_R1,1.0,metric_pr_auc_mean,6,Oracle-Score-Exact,0.18721385935851334
CICIDS2017_COVERAGE_R1,1.0,metric_pr_auc_mean,7,Cost-Only,0.17953436671035583
CICIDS2017_COVERAGE_R1,1.0,metric_pr_auc_mean,8,Random-Budget,0.17953436671035583
CICIDS2017_COVERAGE_R1,1.0,metric_fpr_mean,1,Cost-Only,0.0022313447885725615
CICIDS2017_COVERAGE_R1,1.0,metric_fpr_mean,2,Random-Budget,0.0022313447885725615
CICIDS2017_COVERAGE_R1,1.0,metric_fpr_mean,3,Oort-Style-Adapted,0.005053681479633168
CICIDS2017_COVERAGE_R1,1.0,metric_fpr_mean,4,Utility-Cost-Ratio,0.005053681479633168
CICIDS2017_COVERAGE_R1,1.0,metric_fpr_mean,5,Utility-Only,0.005053681479633168
CICIDS2017_COVERAGE_R1,1.0,metric_fpr_mean,6,CB-Score,0.005867534411862222
CICIDS2017_COVERAGE_R1,1.0,metric_fpr_mean,7,Historical-DoubleCost,0.005867534411862222
CICIDS2017_COVERAGE_R1,1.0,metric_fpr_mean,8,Oracle-Score-Exact,0.005867534411862222
CICIDS2017_COVERAGE_R1,1.0,comm_selected_uplink_mean,1,Oort-Style-Adapted,10771173.3
CICIDS2017_COVERAGE_R1,1.0,comm_selected_uplink_mean,2,Utility-Cost-Ratio,10771173.3
CICIDS2017_COVERAGE_R1,1.0,comm_selected_uplink_mean,3,Utility-Only,10771173.3
CICIDS2017_COVERAGE_R1,1.0,comm_selected_uplink_mean,4,CB-Score,11815658.6
