dataset_protocol,beta,method,endpoint,fraction_of_full_final,n_seeds,reached_seeds,reached_fraction,mean_E2E_broadcast_bytes_when_reached,mean_round_when_reached,mean_target_value
CICIDS2017_COVERAGE_R1,0.4,Historical-DoubleCost,PR_AUC,0.95,10,10,1.0,500389.7,0.8,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,Oort-Style-Adapted,F1,0.9,10,10,1.0,461992.8,0.6,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,Oort-Style-Adapted,F1,0.95,10,10,1.0,461992.8,0.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,Oort-Style-Adapted,PR_AUC,0.9,10,10,1.0,404485.3,0.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.4,Oort-Style-Adapted,PR_AUC,0.95,10,10,1.0,621116.8,1.2,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,Oracle-Score-Exact,F1,0.9,10,10,1.0,454780.9,0.5,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,Oracle-Score-Exact,F1,0.95,10,10,1.0,454780.9,0.5,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,Oracle-Score-Exact,PR_AUC,0.9,10,10,1.0,404508.2,0.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.4,Oracle-Score-Exact,PR_AUC,0.95,10,10,1.0,423965.8,0.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,Random-Budget,F1,0.9,10,10,1.0,1679986.2,4.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,Random-Budget,F1,0.95,10,9,0.9,812849.5555555555,1.6666666666666667,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,Random-Budget,PR_AUC,0.9,10,10,1.0,417201.5,0.5,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.4,Random-Budget,PR_AUC,0.95,10,10,1.0,417201.5,0.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,Utility-Cost-Ratio,F1,0.9,10,10,1.0,455672.1,0.6,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,Utility-Cost-Ratio,F1,0.95,10,10,1.0,455672.1,0.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,Utility-Cost-Ratio,PR_AUC,0.9,10,10,1.0,423769.7,0.5,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.4,Utility-Cost-Ratio,PR_AUC,0.95,10,10,1.0,500359.9,0.8,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.4,Utility-Only,F1,0.9,10,10,1.0,455672.1,0.6,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.4,Utility-Only,F1,0.95,10,10,1.0,455672.1,0.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.4,Utility-Only,PR_AUC,0.9,10,10,1.0,423769.7,0.5,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.4,Utility-Only,PR_AUC,0.95,10,10,1.0,500359.9,0.8,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,CB-Score,F1,0.9,10,10,1.0,1051330.5,1.5,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,CB-Score,F1,0.95,10,10,1.0,1051330.5,1.5,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,CB-Score,PR_AUC,0.9,10,10,1.0,619744.1,0.6,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,CB-Score,PR_AUC,0.95,10,10,1.0,1469480.9,2.9,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,Cost-Only,F1,0.9,10,9,0.9,859597.0,1.0,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,Cost-Only,F1,0.95,10,9,0.9,1101185.3333333333,1.5555555555555556,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,Cost-Only,PR_AUC,0.9,10,10,1.0,970508.2,1.3,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,Cost-Only,PR_AUC,0.95,10,10,1.0,1008776.4,1.4,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,Full-Contextual,F1,0.9,10,10,1.0,3051563.0,3.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,Full-Contextual,F1,0.95,10,10,1.0,3872692.2,4.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,Full-Contextual,PR_AUC,0.9,10,10,1.0,697578.7,0.0,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,Full-Contextual,PR_AUC,0.95,10,10,1.0,2409103.2,2.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,Historical-DoubleCost,F1,0.9,10,10,1.0,1051330.5,1.5,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,Historical-DoubleCost,F1,0.95,10,10,1.0,1051330.5,1.5,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,Historical-DoubleCost,PR_AUC,0.9,10,10,1.0,619744.1,0.6,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,Historical-DoubleCost,PR_AUC,0.95,10,10,1.0,1469480.9,2.9,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,Oort-Style-Adapted,F1,0.9,10,10,1.0,614343.7,0.8,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,Oort-Style-Adapted,F1,0.95,10,10,1.0,741781.1,1.2,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,Oort-Style-Adapted,PR_AUC,0.9,10,10,1.0,784278.9,1.2,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,Oort-Style-Adapted,PR_AUC,0.95,10,10,1.0,1472475.2,3.3,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,Oracle-Score-Exact,F1,0.9,10,10,1.0,1622054.7,3.2,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,Oracle-Score-Exact,F1,0.95,10,10,1.0,1622054.7,3.2,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,Oracle-Score-Exact,PR_AUC,0.9,10,10,1.0,619744.1,0.6,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,Oracle-Score-Exact,PR_AUC,0.95,10,10,1.0,1469480.9,2.9,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,Random-Budget,F1,0.9,10,9,0.9,841418.1111111111,1.0,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,Random-Budget,F1,0.95,10,9,0.9,841418.1111111111,1.0,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,Random-Budget,PR_AUC,0.9,10,10,1.0,1162091.8,1.9,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,Random-Budget,PR_AUC,0.95,10,10,1.0,1237878.3,2.1,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,Utility-Cost-Ratio,F1,0.9,10,10,1.0,966595.4,1.6,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,Utility-Cost-Ratio,F1,0.95,10,10,1.0,966595.4,1.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,Utility-Cost-Ratio,PR_AUC,0.9,10,10,1.0,651767.0,0.7,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,Utility-Cost-Ratio,PR_AUC,0.95,10,10,1.0,1458791.9,3.0,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.6,Utility-Only,F1,0.9,10,10,1.0,966595.4,1.6,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.6,Utility-Only,F1,0.95,10,10,1.0,966595.4,1.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.6,Utility-Only,PR_AUC,0.9,10,10,1.0,651767.0,0.7,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.6,Utility-Only,PR_AUC,0.95,10,10,1.0,1458791.9,3.0,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,CB-Score,F1,0.9,10,10,1.0,989222.9,1.0,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,CB-Score,F1,0.95,10,10,1.0,1604183.6,2.9,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,CB-Score,PR_AUC,0.9,10,10,1.0,650342.2,0.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.8,CB-Score,PR_AUC,0.95,10,10,1.0,1647482.6,2.6,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,Cost-Only,F1,0.9,10,10,1.0,2068533.4,2.7,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,Cost-Only,F1,0.95,10,10,1.0,2125116.8,2.8,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,Cost-Only,PR_AUC,0.9,10,10,1.0,995316.0,0.9,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.8,Cost-Only,PR_AUC,0.95,10,10,1.0,1152874.0,1.2,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,Full-Contextual,F1,0.9,10,10,1.0,3051563.0,3.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,Full-Contextual,F1,0.95,10,10,1.0,3872692.2,4.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,Full-Contextual,PR_AUC,0.9,10,10,1.0,697578.7,0.0,0.029976952257570483
