dataset_protocol,beta,method,endpoint,n_seeds,normalized_auc_mean,normalized_auc_sd,end_value_mean
CICIDS2017_COVERAGE_R1,0.8,Cost-Only,validation_PR_AUC,10,0.028490982038757953,0.0019145046949068294,0.029332865072639994
CICIDS2017_COVERAGE_R1,0.8,Full-Contextual,validation_F1,10,0.0003560484346449492,0.0003315510489832977,0.0004699142567023981
CICIDS2017_COVERAGE_R1,0.8,Full-Contextual,validation_FPR,10,0.02577245037962932,0.020277479992570215,0.03344879527028725
CICIDS2017_COVERAGE_R1,0.8,Full-Contextual,validation_PR_AUC,10,0.02919213769493542,0.0019299375028098724,0.02778531574553233
CICIDS2017_COVERAGE_R1,0.8,Historical-DoubleCost,validation_F1,10,0.0015833652299249623,0.003001886672645976,0.0003508855248147699
CICIDS2017_COVERAGE_R1,0.8,Historical-DoubleCost,validation_FPR,10,0.027567162158913305,0.022028530189462957,0.0239230851529975
CICIDS2017_COVERAGE_R1,0.8,Historical-DoubleCost,validation_PR_AUC,10,0.028905431042614973,0.0024195080950070043,0.02945610112252362
CICIDS2017_COVERAGE_R1,0.8,Oort-Style-Adapted,validation_F1,10,0.004663239955758081,0.0044365195733118284,0.0010600839869819754
CICIDS2017_COVERAGE_R1,0.8,Oort-Style-Adapted,validation_FPR,10,0.028972452075108783,0.023997326398168806,0.0073212784374362795
CICIDS2017_COVERAGE_R1,0.8,Oort-Style-Adapted,validation_PR_AUC,10,0.030587313494705625,0.0025631181863500726,0.033385356991526116
CICIDS2017_COVERAGE_R1,0.8,Oracle-Score-Exact,validation_F1,10,0.0015833652299249623,0.003001886672645976,0.0003508855248147699
CICIDS2017_COVERAGE_R1,0.8,Oracle-Score-Exact,validation_FPR,10,0.027206786189424594,0.022325188623580166,0.02418660754801709
CICIDS2017_COVERAGE_R1,0.8,Oracle-Score-Exact,validation_PR_AUC,10,0.028916682851254302,0.0024096852828586262,0.029255060931632076
CICIDS2017_COVERAGE_R1,0.8,Random-Budget,validation_F1,10,0.00043927555343141803,0.0004198117550467344,0.0006466493554168922
CICIDS2017_COVERAGE_R1,0.8,Random-Budget,validation_FPR,10,0.046797144394332336,0.04556813012822429,0.05663565241005378
CICIDS2017_COVERAGE_R1,0.8,Random-Budget,validation_PR_AUC,10,0.02861100707790495,0.00177931850728755,0.030547216110408726
CICIDS2017_COVERAGE_R1,0.8,Utility-Cost-Ratio,validation_F1,10,0.003800795657679207,0.0039847701996088185,0.0004515999424019193
CICIDS2017_COVERAGE_R1,0.8,Utility-Cost-Ratio,validation_FPR,10,0.030166043950757285,0.026662990136566506,0.008349723882494093
CICIDS2017_COVERAGE_R1,0.8,Utility-Cost-Ratio,validation_PR_AUC,10,0.030039678222690963,0.003006949134297139,0.03256421770424607
CICIDS2017_COVERAGE_R1,0.8,Utility-Only,validation_F1,10,0.003802573857583027,0.003984123545716477,0.0006099372980405414
CICIDS2017_COVERAGE_R1,0.8,Utility-Only,validation_FPR,10,0.03019761996083242,0.02664022637930723,0.008489201561023396
CICIDS2017_COVERAGE_R1,0.8,Utility-Only,validation_PR_AUC,10,0.030114260681161964,0.0029852667936374603,0.032538702738237286
CICIDS2017_COVERAGE_R1,1.0,CB-Score,validation_F1,10,0.0013031358862703847,0.0019200563801169486,0.0005259527876194719
CICIDS2017_COVERAGE_R1,1.0,CB-Score,validation_FPR,10,0.025819947850573233,0.023480498575074015,0.01737713838450356
CICIDS2017_COVERAGE_R1,1.0,CB-Score,validation_PR_AUC,10,0.029408391847651573,0.0028462582544686423,0.030284926891220545
CICIDS2017_COVERAGE_R1,1.0,Cost-Only,validation_F1,10,0.00044656721369447415,0.0003819196453725201,0.0006450994035463721
CICIDS2017_COVERAGE_R1,1.0,Cost-Only,validation_FPR,10,0.04354495495881484,0.044588046533225865,0.040603371471141105
CICIDS2017_COVERAGE_R1,1.0,Cost-Only,validation_PR_AUC,10,0.028252269957724462,0.002105069993918998,0.02990492752839788
CICIDS2017_COVERAGE_R1,1.0,Full-Contextual,validation_F1,10,0.00040582528791432764,0.0003232305433964562,0.0006471148517751086
CICIDS2017_COVERAGE_R1,1.0,Full-Contextual,validation_FPR,10,0.028412106314676944,0.02464083649004906,0.035045319676856646
CICIDS2017_COVERAGE_R1,1.0,Full-Contextual,validation_PR_AUC,10,0.029045707794339463,0.0017936280303153013,0.028014487071547613
CICIDS2017_COVERAGE_R1,1.0,Historical-DoubleCost,validation_F1,10,0.0013031358862703847,0.0019200563801169486,0.0005259527876194719
CICIDS2017_COVERAGE_R1,1.0,Historical-DoubleCost,validation_FPR,10,0.025819947850573233,0.023480498575074015,0.01737713838450356
CICIDS2017_COVERAGE_R1,1.0,Historical-DoubleCost,validation_PR_AUC,10,0.029408391847651573,0.0028462582544686423,0.030284926891220545
CICIDS2017_COVERAGE_R1,1.0,Oort-Style-Adapted,validation_F1,10,0.004821691400701141,0.004263857364499536,0.0012252832867070103
CICIDS2017_COVERAGE_R1,1.0,Oort-Style-Adapted,validation_FPR,10,0.027170700158951767,0.018179194512000105,0.016883385267973956
CICIDS2017_COVERAGE_R1,1.0,Oort-Style-Adapted,validation_PR_AUC,10,0.03128631498831569,0.003284262896005699,0.038587374598789755
CICIDS2017_COVERAGE_R1,1.0,Oracle-Score-Exact,validation_F1,10,0.0013031358862703847,0.0019200563801169486,0.0005259527876194719
CICIDS2017_COVERAGE_R1,1.0,Oracle-Score-Exact,validation_FPR,10,0.025819947850573233,0.023480498575074015,0.01737713838450356
CICIDS2017_COVERAGE_R1,1.0,Oracle-Score-Exact,validation_PR_AUC,10,0.029408391847651573,0.0028462582544686423,0.030284926891220545
CICIDS2017_COVERAGE_R1,1.0,Random-Budget,validation_F1,10,0.0004465814258451292,0.00038193135960868426,0.0006446589690756849
CICIDS2017_COVERAGE_R1,1.0,Random-Budget,validation_FPR,10,0.04354407800636705,0.044589287422983744,0.04060528317007001
CICIDS2017_COVERAGE_R1,1.0,Random-Budget,validation_PR_AUC,10,0.02825246037946075,0.0021052413418299176,0.029907181057146813
CICIDS2017_COVERAGE_R1,1.0,Utility-Cost-Ratio,validation_F1,10,0.004821691400701141,0.004263857364499536,0.0012252832867070103
CICIDS2017_COVERAGE_R1,1.0,Utility-Cost-Ratio,validation_FPR,10,0.027170700158951767,0.018179194512000105,0.016883385267973956
CICIDS2017_COVERAGE_R1,1.0,Utility-Cost-Ratio,validation_PR_AUC,10,0.03128631498831569,0.003284262896005699,0.038587374598789755
CICIDS2017_COVERAGE_R1,1.0,Utility-Only,validation_F1,10,0.004821691400701141,0.004263857364499536,0.0012252832867070103
CICIDS2017_COVERAGE_R1,1.0,Utility-Only,validation_FPR,10,0.027170700158951767,0.018179194512000105,0.016883385267973956
CICIDS2017_COVERAGE_R1,1.0,Utility-Only,validation_PR_AUC,10,0.03128631498831569,0.003284262896005699,0.038587374598789755
CICIoT2023_R1,0.1,CB-Score,validation_F1,10,0.9239009574829852,0.04378538133454334,0.9242902272559502
CICIoT2023_R1,0.1,CB-Score,validation_FPR,10,0.1805581885130822,0.23203541792803786,0.2220845856029782
CICIoT2023_R1,0.1,CB-Score,validation_PR_AUC,10,0.9710413697058443,0.06179309163334869,0.9732691762541775
CICIoT2023_R1,0.1,Cost-Only,validation_F1,10,0.8778471477683021,0.04131101441126635,0.8749389269554415
CICIoT2023_R1,0.1,Cost-Only,validation_FPR,10,0.5829643352845203,0.37978745265600644,0.5376403399226576
CICIoT2023_R1,0.1,Cost-Only,validation_PR_AUC,10,0.9599759273320274,0.06121133552544697,0.9636171902090487
CICIoT2023_R1,0.1,Full-Contextual,validation_F1,10,0.9360581340764881,0.006946053766066018,0.9423621543977333
CICIoT2023_R1,0.1,Full-Contextual,validation_FPR,10,0.12980734882729794,0.10504661806333115,0.07204745907790688
CICIoT2023_R1,0.1,Full-Contextual,validation_PR_AUC,10,0.9805689110716874,0.011040686079614564,0.9915626746627407
CICIoT2023_R1,0.1,Historical-DoubleCost,validation_F1,10,0.9237324260787706,0.0436803108119618,0.9246461951152264
