dataset_protocol,selection,aggregation,model_attack,reported_utility,n_seeds,test_F1_mean,delta_test_F1_vs_clean,test_PR_AUC_mean,delta_test_PR_AUC_vs_clean,test_FPR_mean,delta_test_FPR_vs_clean,mean_malicious_selection_rate,mean_malicious_budget_fraction
CICIoT2023_R1,CB-Score,FedAvg,label-flip,honest,10,0.9136077659021132,-0.0018084575073243903,0.9854670158677611,-0.0020756483816128934,0.04306348074179743,0.001783166904422255,0.09555555555555555,0.09445003500843097
CICIoT2023_R1,CB-Score,FedAvg,sign-flip,forged_inflated,10,0.31167607822563254,-0.6037401451838051,0.7398778818947362,-0.24766478235463774,0.4,0.35871968616262484,0.9105555555555556,0.911767926511266
CICIoT2023_R1,CB-Score,FedAvg,sign-flip,honest,10,0.9011952215813264,-0.014221001828111257,0.922844265463222,-0.06469839878615202,0.23018009985734664,0.18889978601997146,0.05222222222222222,0.05289662167455977
CICIoT2023_R1,CB-Score,Norm-Clipped-Averaging,clean,forged_inflated,10,0.9169662073537925,0.0007286157865487031,0.987175186232613,-0.0003969564730641473,0.04297432239657632,-0.0012749643366619101,0.7941666666666667,0.794088731033431
CICIoT2023_R1,CB-Score,Norm-Clipped-Averaging,clean,honest,10,0.9162375915672438,0.0,0.9875721427056772,0.0,0.04424928673323823,0.0,0.0,0.0
CICIoT2023_R1,CB-Score,Norm-Clipped-Averaging,label-flip,forged_inflated,10,0.40074571698386735,-0.5154918745833765,0.8758865967892555,-0.11168554591642166,0.031116262482168332,-0.013133024251069901,0.6977777777777778,0.696518976898479
CICIoT2023_R1,CB-Score,Norm-Clipped-Averaging,label-flip,honest,10,0.9200497865828876,0.0038121950156437823,0.9868395246126752,-0.0007326180930019577,0.0478601997146933,0.003610912981455064,0.10388888888888889,0.10268414170889752
CICIoT2023_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,forged_inflated,10,0.31041365621453604,-0.6058239353527077,0.7395881585797959,-0.2479839841258813,0.4,0.3557507132667618,0.9055555555555556,0.9069637368748306
CICIoT2023_R1,CB-Score,Norm-Clipped-Averaging,sign-flip,honest,10,0.9108568722178382,-0.005380719349405649,0.9617686587666048,-0.02580348393907239,0.13641226818830243,0.0921629814550642,0.06555555555555555,0.06636906412500897
CICIoT2023_R1,Full-Contextual,FedAvg,clean,honest,10,0.9218090119020942,0.0,0.9874069072980145,0.0,0.04709789586305278,0.0,0.0,0.0
CICIoT2023_R1,Full-Contextual,FedAvg,label-flip,honest,10,0.9029854423394141,-0.018823569562680054,0.9784859003320389,-0.008921006965975642,0.04574268901569187,-0.0013552068473609152,0.30000000000000004,0.2982544141722344
CICIoT2023_R1,Full-Contextual,FedAvg,sign-flip,honest,10,0.5341479808077022,-0.387661031094392,0.8492449370353881,-0.13816197026262644,0.2234620185449358,0.176364122681883,0.30000000000000004,0.3037782698475595
CICIoT2023_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,10,0.9219531841700795,0.0,0.9875528787401577,0.0,0.045764978601997144,0.0,0.0,0.0
CICIoT2023_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,10,0.9066941146718617,-0.01525906949821787,0.9806810631444806,-0.006871815595677178,0.04531027104136947,-0.00045470756062767487,0.30000000000000004,0.2983957873876468
CICIoT2023_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,10,0.7273982013957845,-0.19455498277429506,0.9493766298949403,-0.03817624884521742,0.03420114122681883,-0.011563837375178312,0.30000000000000004,0.3034201936445022
