dataset_protocol,metadata_view,attacker,target,client_id,n_observations,positive_rate,mean_oriented_oof_score,median_oriented_oof_score,client_group_auc
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,8,300,0.7,0.5050362682561015,0.5076686545988212,0.502910052910053
CICIDS2017_COVERAGE_R1,Noisy-Quantized,MLP,client_size_above_seed_median,9,300,0.8,0.500554519419283,0.504945151970654,0.4651388888888889
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,0,300,0.6,0.5359403215789812,0.5674373724662314,0.54375
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,1,300,0.6,0.5438314500274962,0.5510092450604616,0.5618055555555556
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,2,300,0.5,0.4691442045529043,0.5332113860820819,0.8478222222222223
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,3,300,0.4,0.4856322618594335,0.5464722292305448,0.7043518518518519
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,4,300,0.3,0.49237214540851826,0.5333552656140382,0.7993650793650794
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,5,300,0.5,0.46568908476205156,0.530492375544121,0.8178666666666667
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,6,300,0.6,0.5272782792388643,0.5542751877098522,0.5809722222222222
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,7,300,0.7,0.5388108144956181,0.5523767857430186,0.49269841269841264
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,8,300,0.5,0.4825437772451029,0.5397962096399299,0.5532888888888888
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,attack_ratio_above_seed_median,9,300,0.3,0.5082778047553362,0.5500649187809026,0.616031746031746
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,client_size_above_seed_median,0,300,0.4,0.5037422005206431,0.493598233668851,0.4077777777777778
CICIDS2017_COVERAGE_R1,Noisy-Quantized,RandomForest,client_size_above_seed_median,1,300,0.7,0.488521800135551,0.48193177963761746,0.3824338624338624
