dataset_protocol,selection_method,aggregation_method,attack,utility_report,n_seeds,focal_beta,test_F1_mean,test_F1_ci_low,test_F1_ci_high,test_PR_AUC_mean,test_PR_AUC_ci_low,test_PR_AUC_ci_high,test_FPR_mean,test_FPR_ci_low,test_FPR_ci_high,malicious_share_selected_uplink_mean,malicious_share_selected_uplink_ci_low,malicious_share_selected_uplink_ci_high
CICIDS2017_COVERAGE_R1,CB-FedSelect,Norm-Clipped-Averaging,sign-flip,forged_inflated,10,0.4,0.3043714516234914,0.1902321572646821,0.3804643145293643,0.2349218470099975,0.2349218470099975,0.2349218470099975,0.8,0.5,1.0,0.9966991437055708,0.9912013489720668,1.0
CICIDS2017_COVERAGE_R1,CB-FedSelect,Norm-Clipped-Averaging,sign-flip,honest,10,0.4,0.0426426202620038,0.0020289840578232,0.1194778501815834,0.2039696211043161,0.1831980837719517,0.2266151669074419,0.1131894763107611,0.00583599376536,0.3124250663968634,0.1389485828097287,0.0886367175392117,0.1917830099467669
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,10,0.4,0.0042524225350367,0.0027273033861703,0.0071114334259458,0.1737435509804618,0.1697939370027479,0.1786407408904264,0.0012291537775285,0.0004542587990797,0.0024231437077648,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,label-flip,honest,10,0.4,0.0094644525131387,0.0035592821087353,0.0156748343903075,0.2214094971827227,0.2002037198373659,0.2435684401394506,0.0082776465601809,0.0028940914482206,0.0149684593534978,0.2999770925358851,0.2997371636271426,0.3002151035635524
CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,sign-flip,honest,10,0.4,0.2411994654381716,0.1190484075700495,0.3620612543692157,0.2467275498107198,0.2325698727452803,0.263193310181931,0.5520202762519697,0.2715578737963966,0.8299047371641276,0.3080425590652652,0.3054479787729203,0.3106773908131325
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,clean,honest,10,0.4,0.0032371692112913,0.0028082036637925,0.0039123489876584,0.1746816806324976,0.1707659590844874,0.1790886661580791,0.0054443719044705,0.0003469300209529,0.0153740014834614,0.0,0.0,0.0
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,label-flip,honest,10,0.4,0.0093428515070115,0.0033927225750994,0.0154511037032138,0.2098272618601579,0.1934896732399098,0.2272174653873978,0.008527168878756,0.0027990336991854,0.0157623077738165,0.2999662056693778,0.2996913180491675,0.3002574431202106
CICIDS2017_COVERAGE_R1,Full-Contextual,Norm-Clipped-Averaging,sign-flip,honest,10,0.4,0.0419028344485348,0.0007776468017547,0.1188672883562757,0.2059740225265866,0.1840665393206346,0.2289359553008514,0.1219213902153069,0.0058268759463902,0.3194559046209482,0.3035919181995999,0.3030954360102925,0.3040301845261733
CICIoT2023_R1,CB-FedSelect,FedAvg,clean,forged_inflated,10,0.4,0.918017814073903,0.908335538388722,0.9244452260882634,0.9873864967622956,0.986761912047,0.98800907885202,0.0444498930099856,0.0339960770328102,0.0509896576319543,0.8024248242722605,0.7335060167181201,0.8759572523463514
CICIoT2023_R1,CB-FedSelect,FedAvg,clean,honest,10,0.4,0.9154162234094376,0.9057987648185046,0.9221963612484476,0.987542664249374,0.9870424836087888,0.9879893295785462,0.0412803138373751,0.0298991396219685,0.0502273537803137,0.0,0.0,0.0
