phase,cell_id,dataset,dataset_protocol,method,beta,alpha_dir,seed,aggregation,model_attack,reported_utility,metric_accuracy,metric_balanced_accuracy,metric_f1,metric_false_negatives,metric_false_positives,metric_false_positives_per_10000_benign,metric_fpr,metric_pr_auc,metric_precision,metric_recall,metric_roc_auc,metric_threshold,metric_true_negatives,metric_true_positives,comm_E2E_broadcast,comm_E2E_unicast,comm_aggregation_seconds,comm_downlink_broadcast,comm_downlink_unicast,comm_empty_rounds,comm_full_candidate_airtime_us,comm_max_client_seconds,comm_metadata_wire,comm_selected_airtime_us,comm_selected_uplink,comm_server_selection_seconds,comm_sum_client_CPU_seconds,comm_wall_clock_seconds
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed123,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,123,FedAvg,clean,honest,0.7648192556833189,0.5002666317421505,0.0025067382455050634,89719,212,7.246401580535892,0.0007246401580535892,0.1740429131014341,0.3476923076923077,0.0012579036423546175,0.3560822970205561,0.53,292347,113,7759305,26191611,0.01280089994543232,2048034,20480340,1,48342937.0,5.324856400038698,25500,16455038.0,5685771,0.0036970999790355563,43.121573499855,60.566855299985036
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed2026,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,2026,FedAvg,clean,honest,0.7649709328932951,0.5003850414885079,0.0026190502613501424,89714,159,5.434801185401919,0.0005434801185401919,0.17345832287168003,0.4259927797833935,0.0013135630955561492,0.34754487246438326,0.8,292400,118,8405520,26845575,0.013091700035147369,2048895,20488950,0,47966182.0,4.720799499991699,25500,11421633.0,6331125,0.003657400025986135,36.005589099862846,53.207865699980175
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed2027,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,2027,FedAvg,clean,honest,0.7620132272987596,0.5023398414984002,0.024148580252208972,88706,2298,78.5482586418466,0.00785482586418466,0.17389230026583194,0.32885514018691586,0.01253450886098495,0.3295787374110226,0.49,290261,1126,8997849,27430632,0.013481599962688051,2048087,20480870,0,48262734.0,5.1400615999882575,25500,19123002.0,6924262,0.0034561000647954643,40.92119619989535,58.2044722000137
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed2718,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,2718,FedAvg,clean,honest,0.7645682037495652,0.500187413815962,0.0029901325625436063,89697,330,11.279776045173794,0.0011279776045173794,0.18467743311044654,0.2903225806451613,0.0015028052364413572,0.40388293722416746,0.66,292229,135,7907992,26336590,0.01322029999573715,2047622,20476220,0,47961137.0,5.360056300021824,25500,13907014.0,5834870,0.003913800013833679,42.36028939989046,59.66869689998566
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed314,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,314,FedAvg,clean,honest,0.7648532522993481,0.5003891285797795,0.0030821765931970378,89693,225,7.6907563944366775,0.0007690756394436678,0.1667134068282486,0.38186813186813184,0.0015473327990025826,0.31564087662887036,0.54,292334,139,8164670,26600324,0.012527100028819405,2048406,20484060,0,47676037.0,5.104323100036709,25500,15588204.0,6090764,0.0036358000070322305,39.64810490014497,56.89799079997465
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed3407,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,3407,FedAvg,clean,honest,0.7636372194952287,0.5034011658808324,0.02431046580666055,88706,1677,57.32177099320137,0.005732177099320137,0.21615516841394436,0.40171245094541563,0.01253450886098495,0.4888070897930295,0.61,290882,1126,8394211,26830774,0.012431100010871887,2048507,20485070,0,48333552.0,4.963457399979234,25500,18052142.0,6320204,0.00364319997606799,39.01036299983389,56.16964179999195
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed42,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,42,FedAvg,clean,honest,0.7647094204623017,0.5002681322276644,0.0029256291765018786,89700,273,9.331451091916502,0.0009331451091916502,0.1871073715842619,0.32592592592592595,0.001469409564520438,0.41625851978638884,0.69,292286,132,8680143,27112170,0.014602299968828447,2048003,20480030,0,48322866.0,5.1924467999633634,25500,14098456.0,6606640,0.0037258000229485333,39.53136499985703,56.78855290001957
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed777,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,777,FedAvg,clean,honest,0.7335528294337471,0.4798524309723386,0.0023109387699147108,89714,12173,416.08701150878966,0.04160870115087897,0.1853129164231265,0.009600520706207795,0.0013135630955561492,0.4106582611788092,0.39,280386,118,8877763,27315865,0.014008100042701699,2048678,20486780,0,48369493.0,5.255866200008313,25500,19208583.0,6803585,0.0039428999298252165,41.32857769999828,58.3764988000039
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oort-Style-Adapted__seed9001,CICIDS2017,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,1.0,9001,FedAvg,clean,honest,0.7648427918021083,0.5004054336819349,0.0032146499357070014,89687,235,8.032567789744974,0.0008032567789744975,0.18197553756055454,0.3815789473684211,0.0016141241428444207,0.3930951899728788,0.71,292324,145,8736633,27175923,0.013353699978324585,2048810,20488100,0,48298748.0,5.247882600000594,25500,13727362.0,6662323,0.0034431999665685,40.856875399971614,58.14647460001288
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed11,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,11,FedAvg,clean,honest,0.7652324453242885,0.5005752316278802,0.0027327564180895146,89709,64,2.1875929299730994,0.00021875929299730994,0.1831873427516591,0.6577540106951871,0.001369222548757681,0.3942389006918636,0.8,292495,123,9446778,27895824,0.013646400009747595,2049894,20498940,0,48156347.0,5.264635800005635,25500,15263019.0,7371384,0.02694520006480161,41.45935430012469,58.95262619997084
