dataset,method,beta,proxy,round_observations,seeds_with_defined_correlation,pooled_pearson_r,pooled_pearson_p,pooled_spearman_rho,pooled_spearman_p,mean_seed_pearson_r,seed_pearson_ci_low,seed_pearson_ci_high,mean_seed_spearman_rho,seed_spearman_ci_low,seed_spearman_ci_high,interpretation_boundary
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.1,proxy_sum,300,10,-0.28006367539228577,8.240006774155224e-07,-0.07118866242572479,0.21890811345044583,-0.0030958816729709402,-0.32842410092786767,0.31860504593252714,-0.03205986324721839,-0.2868897978235811,0.19193732215762985,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.1,proxy_mean,300,10,-0.28006367539228577,8.240006774155224e-07,-0.07118866242572479,0.21890811345044583,-0.0030958816729709402,-0.32728270097509027,0.3152121178457292,-0.03205986324721839,-0.291376173034556,0.19175758442959004,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.2,proxy_sum,300,10,-0.2433098977187047,2.0364083307450263e-05,-0.11784884870870027,0.04137086677095529,-0.2748792889779755,-0.45103136613259354,-0.08152469357930146,-0.13005798076898376,-0.2821813716549309,0.043652749912013546,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.2,proxy_mean,300,10,-0.22556139671525274,8.099374768256113e-05,-0.09545239381029527,0.09891188872569376,-0.23178400557985732,-0.4178764810995907,-0.03278245675872343,-0.0877005756974005,-0.2374640054255819,0.07372863355999822,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,proxy_sum,300,10,-0.19021287241553264,0.0009292656482261752,0.03251882371346914,0.5747705420369154,-0.0740798279466082,-0.33659473456227007,0.2172553049890812,-0.03154838768482489,-0.2731597254135746,0.2140957844623059,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.4,proxy_mean,300,10,-0.15969910128433504,0.005565543685244846,0.06780035064508287,0.24168652940774416,-0.014982360505797343,-0.26892062131792804,0.2684468114025792,0.028233820193668067,-0.1961511253441158,0.25659812151648126,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,proxy_sum,300,10,0.05922320191252362,0.30659573129147016,0.23711761755666613,3.336731401289999e-05,0.1454916566347958,-0.04870790317369373,0.3640223865894608,0.1956059719959639,0.055346039513826786,0.33302826586672,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,proxy_mean,300,10,0.08849606021384628,0.12616533916141467,0.3026725130903653,8.96798425166376e-08,0.20649995443330177,0.02509613627467938,0.40637882159821176,0.28281852579398814,0.15765954354954897,0.40248713088631477,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,proxy_sum,300,10,0.26705489219905426,2.709428479076391e-06,0.30412073412539437,7.728971633090292e-08,0.3702741572002111,0.1918702554027438,0.5425872727991788,0.26846550874946423,0.15869492888132017,0.3761364821432238,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,proxy_mean,300,10,0.25407518265186047,8.363118576384383e-06,0.37170477387927114,2.9100527735316324e-11,0.40943009021191523,0.2682957485036528,0.542816554081278,0.32600690417957484,0.20029615607634704,0.4440935883761634,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
